code;libelle;niveau;code_parent;code_famille;libelle_famille;section;categorie_principale;categorie_metier;profil_formulaire;ordre_affichage
244.206;Cellule de Mallassiez;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244206
244.207;Centrifugeuse;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244207
244.208;Chaîne d’électrophorèse;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244208
244.209;Chaîne Elisa;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244209
244.210;Chaise roulante;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244210
244.211;Champ visuel de Goldman;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244211
244.212;Chargeur de pipette électronique;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244212
244.213;Chariot d’anesthésie;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244213
244.214;Chariot de soins, de nettoyage, de transport, etc.;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244214
244.215;Colonne (d’endoscopie, de célioscope);ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244215
244.216;Colposcope;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244216
244.217;Compresseur d’air;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244217
244.218;Compteur de cellules;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244218
244.219;Couveuse;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244219
244.220;Cruches;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244220
244.222;Décongélateur;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244222
244.223;Défibrillateur;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244223
244.224;Déminéralisateur mural;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244224
244.225;Détecteur de Pool Fœtal;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244225
244.226;Diathermie;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244226
244.227;Distillateur;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244227
244.228;Distributeur de paraffine;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244228
244.229;Divan d’examen;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244229
244.230;Doppler;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244230
244.231;Echelle d’acuité visuelle, de taille, etc.;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244231
244.232;Echographe;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244232
244.233;Electro cardiogramme (simple, d’effort, d’Olter);ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244233
244.234;électro photomètre;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244234
244.235;Electroencéphalogramme;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244235
244.236;Electrothérapie + ultra son;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244236
244.237;Endoscopie;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244237
244.238;Ensemble gamma camera;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244238
244.239;Etuve;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244239
244.240;Fauteuil (consultation, soins, prélèvement, dentaire, dialyse etc.);ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244240
244.241;Four autoclave;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244241
244.242;Frontofocomètre;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244242
244.243;Générateur de dialyse;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244243
244.244;Glacière pharmacie;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244244
244.245;Glucomètre;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244245
244.247;Groupe d’air et de vides;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244247
244.248;Hemoleucometre;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244248
244.249;Histokinette;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244249
244.250;Hotte à flux laminaire;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244250
244.251;Hystéromètre;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244251
244.253;Imprimante de labo;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244253
244.254;Incubateur;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244254
244.255;Injecteur;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244255
244.256;Insufflateur;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244256
244.257;IRM;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244257
244.258;Kit (de planning familial, réanimation, glucomètre etc.);ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244258
244.259;Lampes (à fente, opératoires ou scialytiques, d’examen, de photothérapie etc.);ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244259
244.260;Laryngoscope;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244260
244.261;Laser;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244261
244.262;Lavabo aseptique;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244262
244.263;Lave globule;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244263
244.264;Laveurs de microplaques;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244264
244.265;Lit d’hôpital et matelas;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244265
244.266;Loupe;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244266
244.267;Mammographe;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244267
244.268;Manomètre d’oxygène;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244268
244.269;Matériel d'AMU;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244269
244.270;Matériel d'IUPP;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244270
244.271;Meuble de consultation (ORL, ophtalmo, etc.);ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244271
244.272;Micropipette;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244272
244.273;Microscope;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244273
244.274;Moniteur de surveillance;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244274
244.275;Moteur chirurgical;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244275
244.276;Négatoscope;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244276
244.277;Nutripompe;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244277
244.278;Ophtalmoscope;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244278
244.279;Ordinateur (de cardiologie, radiologies, d’encospie, de laboratoire etc.);ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244279
244.280;Oxymètre de pouls;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244280
244.281;Paillasse;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244281
244.283;"Pèse-bébé ; pèse- personne";ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244283
244.284;Appareil de photothérapie;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244284
244.285;Pinces (à badigeon, à clapet, à cocher, à col, à dissèque, à servir, etc.);ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244285
244.286;Plaque d’opaline;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244286
244.287;Plateaux (grand modèle, moyen, petit, technique, etc.);ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244287
244.288;Pleurscope complet;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244288
244.289;Portoir (aiguille, bistouri, pour pipettes, etc.);ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244289
244.290;Potence (en bois, en fer);ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244290
244.291;Appareil de pouliethérapie;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244291
244.292;Pousse-seringue;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244292
244.293;Presse à plasma;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244293
244.294;Programmateur de spacemaker;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244294
244.295;Projecteur de test;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244295
244.296;Réfrigérateur et congélateur médicaux;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244296
244.297;Régloscope;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244297
244.298;Reprographe numérisé;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244298
244.299;Respirateur (simple, de transport);ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244299
244.300;Scanner;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244300
244.301;Scie oscillante;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244301
244.302;Soudeuse;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244302
244.303;Source de lumière;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244303
244.304;Spectrophotomètre;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244304
244.305;Stérilisateur (de salle, poupinels ou à chaleur sèches);ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244305
244.306;Stéthoscope obstétrical;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244306
244.307;Table d'Anesthésie;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244307
244.308;Table de Photothérapie;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244308
244.309;Table de Réanimation;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244309
244.310;Table Opératoire;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244310
244.311;Tables (d’examen ou de soins, gynéco, pansement, accouchement,);ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244311
244.312;Tabouret médical;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244312
244.314;Tensiomètre (électrique, électronique, mécanique);ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244314
244.315;Thermomètre;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244315
244.316;Toc cardiographe;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244316
244.317;Toise (bébé, adulte, crénas, en fer, etc);ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244317
244.318;Trocart;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244318
244.319;Urit médicale;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244319
244.320;Valise de verres d'essai;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244320
244.321;Vibromasseur;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244321
244.322;Matériel et équipement des laboratoires des Ecoles et Universités;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244322
244.323;Alimentation stabilisée;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244323
244.324;Amplificateur;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244324
244.325;Analyseur de spectre;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244325
244.326;Appareil de mesure;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244326
244.327;Armoire d'alimentation;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244327
244.328;Autocom;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244328
244.329;Baie;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244329
244.330;Banc de mesure (numérique, analogique, etc.);ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244330
244.332;Batterie de musique;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244332
244.333;Bonnette pour micro;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244333
244.334;Cabine;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244334
244.335;Car de reportage;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244335
244.336;Carte mémoire SD;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244336
244.337;Casque d'écoute;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244337
244.338;Charge fictive;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244338
244.339;Chargeur de batterie;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244339
244.340;Chroma key;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244340
244.341;Clavier;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244341
244.342;Clé à connexion;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244342
244.343;Codeur;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244343
244.345;Collier pour microphone;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244345
244.346;Commutateur;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244346
244.347;Compresseur;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244347
244.348;Connecteur;ARTICLE;244;244;MATERIELS ET OUTILLAGES TECHNIQUES;IMMOBILISATION;MATERIEL ROULANT ET TRANSPORT;MATERIEL_ROULANT;roulant;244348
